Word,Frequency
"smoking,",3
fifteen,3
Christian's,3
Wanted,3
clothes,3
DOOR.,3
nun,3
Let's,3
CABINETS,3
hundreds,3
darkness.,3
please...,3
warehouse.,3
chairs,3
Christian.,3
METAL,3
cash.,3
clears,3
sweat,3
DUSK,3
VELVET'S,3
pushing,3
films.,3
center,3
who's,3
toward,3
"building,",3
beautiful,3
"number,",3
fellow,3
faces,3
"watching,",3
shooting,3
bright,3
"women,",3
TAXI,3
boy,3
Because,3
Shut,3
"GIRL,",3
Looks,3
once,3
folded,3
worry,3
course.,3
accept,3
More,3
pen,3
given,3
book,3
"RECORDER,",3
cutting,3
"cigarettes,",3
you'd,3
study,3
lighting,3
SUPERMARKET,3
ways,3
pile,3
seem,3
"long,",3
clerk,3
brick,3
"nervous,",3
page.,3
MOVES,3
bring,3
killed,3
Los,3
murdered,3
lips,3
want?,3
you!,3
"AIRPORT,",3
KNIFES,3
selects,3
together,3
Get,3
PORN,3
good.,3
CLERK,3
"men,",3
pours,3
clutching,3
sweeps,3
(O.S.),3
TAPES.,3
MASK,3
section,3
MASKED,3
Hello?,3
"bathroom,",3
uncomfortable.,3
men,3
Each,3
guess,3
thank,3
stairs,3
of...,3
Art,3
inside,3
view.,3
"okay,",3
"please,",3
bottle,3
wheel.,3
To,3
driver,3
"stops,",3
Deco,3
slumps,3
"hotel,",3
murdered.,3
"HEARD,",3
sweeping,2
MISSION,2
have.,2
dug,2
female,2
"friends,",2
CHILD,2
washing,2
collection,2
"disconnect,",2
sell,2
CERAMIC,2
FIGURINES,2
doubles,2
Out,2
slams,2
gun's,2
HILLS,2
likes,2
DESK,2
thought.,2
R.C.M.P.,2
wall,2
lost,2
windows.,2
Empty,2
"Finally,",2
"BOXES,",2
like.,2
ducks,2
bottles,2
NEWSPRINT,2
mid-town.,2
CUSTOMERS,2
magazines,2
Mathews.,2
fresh,2
CUT:,2
think...,2
attaches,2
twisting,2
"junk,",2
talked,2
notice,2
TIME,2
but...,2
"was,",2
drive,2
eye...,2
now?,2
"binoculars,",2
STORAGE,2
were.,2
overwhelmed,2
Manhattan,2
POSTERS,2
nearly,2
"LIBRARY,",2
fucked,2
"MOTEL,",2
air...,2
"waits,",2
news,2
kid,2
knees...,2
tapes,2
"returns,",2
race,2
pencil,2
BALCONY,2
decor,2
pinned,2
cheap,2
day,2
trembling,2
"then,",2
"days,",2
beats,2
religious.,2
scribbling,2
binoculars,2
that?,2
church.,2
"neck,",2
pictures.,2
Street,2
yours?,2
Doesn't,2
"left,",2
talking.,2
"pals,",2
daughter.,2
hide,2
earpiece.,2
kills,2
lot.,2
I...,2
Manhattan.,2
play,2
money...,2
different,2
"understand,",2
freak,2
"thousand,",2
wrote,2
escapes,2
"windshield,",2
giving,2
gently,2
RECORDS,2
surrounded,2
PHONE'S,2
Suburban,2
RINGS.,2
above.,2
recorder,2
curtains.,2
Stop,2
aim,2
REELS,2
volunteer,2
left...,2
unscrews,2
Films.,2
"Films.""",2
Through,2
pad,2
DECODER,2
Excellent.,2
glass,2
trash,2
BINOCULARS,2
pad),2
Dark.,2
hit,2
expect,2
Ford.,2
American,2
SOHO,2
lawn.,2
ELEVATOR,2
Elevator,2
Dino...,2
"P.O.V.,",2
"bright,",2
star,2
owe,2
beaten,2
exits,2
May,2
"cot,",2
"straight,",2
"short,",2
leave.,2
ADDRESS,2
empty.,2
Cars,2
"HALL,",2
Home,2
LIGHTS,2
"bottle,",2
time...,2
office.,2
round,2
LISTENING,2
tall,2
own,2
BOTTLE,2
SMASHES,2
DECODER.,2
"DOOR,",2
drawing,2
CRICKETS,2
translucent,2
"breath,",2
DELIVERY,2
low.,2
RECEIVER/TAPE,2
"is,",2
please,2
view,2
everywhere.,2
"Mary,",2
drums,2
hand...,2
"poor,",2
SHATTERING,2
"shelves,",2
upstairs.,2
locked.,2
grab,2
page:,2
Lots,2
fire,2
"everywhere,",2
night,2
Whatever,2
"1992.""",2
ask.,2
"""July",2
husband...,2
About,2
"did,",2
Tom?,2
then.,2
light.,2
fell,2
sorry.,2
"crying,",2
ENGINE,2
belongings.,2
there...,2
broke,2
pair,2
PAPER,2
Bob,2
"go,",2
calls,2
thinks,2
morning,2
uh...,2
FURTHER,2
FLOOR.,2
items,2
wife's,2
send,2
crossed,2
LAMP,2
salesperson,2
connect,2
purchase,2
through...,2
LOCK-PICKING,2
CELEBRITY,2
swing,2
push,2
NY,2
"shirt,",2
penlight.,2
loop...,2
BUZZ,2
Robert,2
smiles.,2
screen,2
yellowed,2
CHASE,2
HEAVY,2
ON:,2
"box,",2
leg,2
"suitcase,",2
ads,2
cover,2
KICK,2
(nods,2
clerk),2
Machine),2
keeping,2
"stunned,",2
story,2
class.,2
straight.,2
propped,2
drag,2
"""Women",2
aiming,2
"bow,",2
gathers,2
BED,2
900,2
Hollywood,2
DIARY...,2
job,2
week,2
book.,2
boss,2
tells,2
thin,2
ability,2
simple,2
knifes...,2
beauty,2
battery-operated,2
"leaving,",2
ground.,2
reading?,2
EMPLOYEE,2
Once,2
VAULT,2
knifes.,2
(off,2
Max's,2
glance,2
wounded,2
"""Men",2
everything's,2
horizon.,2
flame...,2
"bag,",2
next?,2
transfers,2
Told,2
look.,2
"gasping,",2
"corpse,",2
(of,2
smokes.,2
belongings,2
PARKING,2
